Architecture,Layer
shufflenet_v2_x1_0,conv5.2
shufflenet_v2_x1_0,stage2.0.branch1.4
shufflenet_v2_x1_0,stage3.0.branch1.4
shufflenet_v2_x1_0,stage4.0.branch1.4
shufflenet_v2_x1_0,stage2.0.branch2.2
shufflenet_v2_x1_0,stage2.0.branch2.7
shufflenet_v2_x1_0,stage3.0.branch2.2
shufflenet_v2_x1_0,stage3.0.branch2.7
shufflenet_v2_x1_0,stage4.0.branch2.2
shufflenet_v2_x1_0,stage4.0.branch2.7
shufflenet_v2_x1_0,stage2.1.branch2.2
shufflenet_v2_x1_0,stage2.1.branch2.7
shufflenet_v2_x1_0,stage2.2.branch2.2
shufflenet_v2_x1_0,stage2.2.branch2.7
shufflenet_v2_x1_0,stage2.3.branch2.2
shufflenet_v2_x1_0,stage2.3.branch2.7
shufflenet_v2_x1_0,stage4.1.branch2.2
shufflenet_v2_x1_0,stage4.1.branch2.7
shufflenet_v2_x1_0,stage4.2.branch2.2
shufflenet_v2_x1_0,stage4.2.branch2.7
shufflenet_v2_x1_0,stage4.3.branch2.2
shufflenet_v2_x1_0,stage4.3.branch2.7
shufflenet_v2_x1_0,stage3.1.branch2.2
shufflenet_v2_x1_0,stage3.1.branch2.7
shufflenet_v2_x1_0,stage3.2.branch2.2
shufflenet_v2_x1_0,stage3.2.branch2.7
shufflenet_v2_x1_0,stage3.3.branch2.2
shufflenet_v2_x1_0,stage3.3.branch2.7
shufflenet_v2_x1_0,stage3.4.branch2.2
shufflenet_v2_x1_0,stage3.4.branch2.7
shufflenet_v2_x1_0,stage3.5.branch2.2
shufflenet_v2_x1_0,stage3.5.branch2.7
shufflenet_v2_x1_0,stage3.6.branch2.2
shufflenet_v2_x1_0,stage3.6.branch2.7
shufflenet_v2_x1_0,stage3.7.branch2.2
shufflenet_v2_x1_0,stage3.7.branch2.7
convnext_tiny,features.1.0.block.4
convnext_tiny,features.1.2.block.4
convnext_tiny,features.3.0.block.4
convnext_tiny,features.3.2.block.4
convnext_tiny,features.7.0.block.4
convnext_tiny,features.7.2.block.4
convnext_tiny,features.5.0.block.4
convnext_tiny,features.5.2.block.4
convnext_tiny,features.5.4.block.4
convnext_tiny,features.5.6.block.4
convnext_tiny,features.5.8.block.4
swin_t,features.1.0.norm1
swin_t,features.1.0.norm2
swin_t,features.1.0.mlp
swin_t,features.1.1.norm1
swin_t,features.1.1.norm2
swin_t,features.1.1.mlp
swin_t,features.3.0.norm1
swin_t,features.3.0.norm2
swin_t,features.3.0.mlp
swin_t,features.3.1.norm1
swin_t,features.3.1.norm2
swin_t,features.3.1.mlp
swin_t,features.7.0.norm1
swin_t,features.7.0.norm2
swin_t,features.7.0.mlp
swin_t,features.7.1.norm1
swin_t,features.7.1.norm2
swin_t,features.7.1.mlp
swin_t,features.5.0.norm1
swin_t,features.5.0.norm2
swin_t,features.5.0.mlp
swin_t,features.5.1.norm1
swin_t,features.5.1.norm2
swin_t,features.5.1.mlp
swin_t,features.5.2.norm1
swin_t,features.5.2.norm2
swin_t,features.5.2.mlp
swin_t,features.5.3.norm1
swin_t,features.5.3.norm2
swin_t,features.5.3.mlp
swin_t,features.5.4.norm1
swin_t,features.5.4.norm2
swin_t,features.5.4.mlp
swin_t,features.5.5.norm1
swin_t,features.5.5.norm2
swin_t,features.5.5.mlp
swin_t,norm
maxvit_t,blocks.0.layers.0.layers.window_attention.attn_layer.0
maxvit_t,blocks.0.layers.0.layers.window_attention.mlp_layer.2
maxvit_t,blocks.0.layers.0.layers.grid_attention.attn_layer.0
maxvit_t,blocks.0.layers.0.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.1.layers.0.layers.window_attention.attn_layer.0
maxvit_t,blocks.1.layers.0.layers.window_attention.mlp_layer.2
maxvit_t,blocks.1.layers.0.layers.grid_attention.attn_layer.0
maxvit_t,blocks.1.layers.0.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.1.layers.1.layers.window_attention.attn_layer.0
maxvit_t,blocks.1.layers.1.layers.window_attention.mlp_layer.2
maxvit_t,blocks.1.layers.1.layers.grid_attention.attn_layer.0
maxvit_t,blocks.1.layers.1.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.2.layers.0.layers.window_attention.attn_layer.0
maxvit_t,blocks.2.layers.0.layers.window_attention.mlp_layer.2
maxvit_t,blocks.2.layers.0.layers.grid_attention.attn_layer.0
maxvit_t,blocks.2.layers.0.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.2.layers.2.layers.window_attention.attn_layer.0
maxvit_t,blocks.2.layers.2.layers.window_attention.mlp_layer.2
maxvit_t,blocks.2.layers.2.layers.grid_attention.attn_layer.0
maxvit_t,blocks.2.layers.2.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.2.layers.4.layers.window_attention.attn_layer.0
maxvit_t,blocks.2.layers.4.layers.window_attention.mlp_layer.2
maxvit_t,blocks.2.layers.4.layers.grid_attention.attn_layer.0
maxvit_t,blocks.2.layers.4.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.3.layers.0.layers.window_attention.attn_layer.0
maxvit_t,blocks.3.layers.0.layers.window_attention.mlp_layer.2
maxvit_t,blocks.3.layers.0.layers.grid_attention.attn_layer.0
maxvit_t,blocks.3.layers.0.layers.grid_attention.mlp_layer.2
maxvit_t,blocks.3.layers.1.layers.window_attention.attn_layer.0
maxvit_t,blocks.3.layers.1.layers.window_attention.mlp_layer.2
maxvit_t,blocks.3.layers.1.layers.grid_attention.attn_layer.0
maxvit_t,blocks.3.layers.1.layers.grid_attention.mlp_layer.2
cait_xxs24_224,patch_embed.norm
cait_xxs24_224,blocks.0.norm1
cait_xxs24_224,blocks.0.norm2
cait_xxs24_224,blocks.0.mlp.act
cait_xxs24_224,blocks.1.norm1
cait_xxs24_224,blocks.1.norm2
cait_xxs24_224,blocks.1.mlp.act
cait_xxs24_224,blocks.2.norm1
cait_xxs24_224,blocks.2.norm2
cait_xxs24_224,blocks.2.mlp.act
cait_xxs24_224,blocks.3.norm1
cait_xxs24_224,blocks.3.norm2
cait_xxs24_224,blocks.3.mlp.act
cait_xxs24_224,blocks.4.norm1
cait_xxs24_224,blocks.4.norm2
cait_xxs24_224,blocks.4.mlp.act
cait_xxs24_224,blocks.5.norm1
cait_xxs24_224,blocks.5.norm2
cait_xxs24_224,blocks.5.mlp.act
cait_xxs24_224,blocks.6.norm1
cait_xxs24_224,blocks.6.norm2
cait_xxs24_224,blocks.6.mlp.act
cait_xxs24_224,blocks.7.norm1
cait_xxs24_224,blocks.7.norm2
cait_xxs24_224,blocks.7.mlp.act
cait_xxs24_224,blocks.8.norm1
cait_xxs24_224,blocks.8.norm2
cait_xxs24_224,blocks.8.mlp.act
cait_xxs24_224,blocks.9.norm1
cait_xxs24_224,blocks.9.norm2
cait_xxs24_224,blocks.9.mlp.act
cait_xxs24_224,blocks.10.norm1
cait_xxs24_224,blocks.10.norm2
cait_xxs24_224,blocks.10.mlp.act
cait_xxs24_224,blocks.11.norm1
cait_xxs24_224,blocks.11.norm2
cait_xxs24_224,blocks.11.mlp.act
cait_xxs24_224,blocks.12.norm1
cait_xxs24_224,blocks.12.norm2
cait_xxs24_224,blocks.12.mlp.act
cait_xxs24_224,blocks.13.norm1
cait_xxs24_224,blocks.13.norm2
cait_xxs24_224,blocks.13.mlp.act
cait_xxs24_224,blocks.14.norm1
cait_xxs24_224,blocks.14.norm2
cait_xxs24_224,blocks.14.mlp.act
cait_xxs24_224,blocks.15.norm1
cait_xxs24_224,blocks.15.norm2
cait_xxs24_224,blocks.15.mlp.act
cait_xxs24_224,blocks.16.norm1
cait_xxs24_224,blocks.16.norm2
